Field name,Reservoir unit,Country,Region,Tectonic regime,Hydrocarbon type,Period,Depositional system,Lithology,Trapping mechanism,Structural setting,Gross,Netpay,Porosity,Permeability,Depth
AWALI,KHUFF,BAHRAIN,MIDDLE EAST,COMPRESSION,GAS,PERMIAN,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FOLD,SALT,640.2,135.7,11.0,25.0,2726.5
AWALI,MAUDDUD,BAHRAIN,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,33.5,33.5,25.0,63.0,680.8
BAB,THAMAMA ZONE B,UAE,MIDDLE EAST,GRAVITY,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,43.9,38.7,25.0,30.0,2579.3
BADR EL DIN-1,BAHARIYA,EGYPT,AFRICA,EXTENSION,OIL,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,FAULT,RIFT,35.1,14.0,12.0,15.0,3407.0
BADR EL DIN-2,ABU ROASH G,EGYPT,AFRICA,EXTENSION,GAS-CONDENSATE,CRETACEOUS,COASTAL,SANDSTONE,FAULT,RIFT,145.1,29.0,21.5,55.0,2160.7
BADR EL DIN-2,BAHARIYA,EGYPT,AFRICA,EXTENSION,GAS-CONDENSATE,CRETACEOUS,COASTAL,SANDSTONE,FAULT,RIFT,110.1,45.1,20.0,225.0,2300.6
BADR EL DIN-3,KHARITA,EGYPT,AFRICA,EXTENSION,GAS-CONDENSATE,CRETACEOUS,FLUVIAL,SANDSTONE,FAULT,RIFT,420.1,136.0,14.0,340.0,3414.6
BADRI,BELAYIM,EGYPT,AFRICA,EXTENSION,OIL,NEOGENE,COASTAL,SANDSTONE,FAULT,SUB-SALT,86.9,35.7,24.0,300.0,1532.0
BADRI,KAREEM,EGYPT,AFRICA,EXTENSION,OIL,NEOGENE,COASTAL,SANDSTONE,FAULT,SUB-SALT,304.9,88.4,16.5,50.0,1729.0
BAHAR,PRODUCTIVE SERIES (PERERIVA-BALAKHANY),AZERBAIJAN,FORMER SOVIET UNION,COMPRESSION,OIL,NEOGENE,LACUSTRINE,SANDSTONE,FOLD,INVERSION,304.9,149.4,17.0,40.0,4466.5
BAI HASSAN,MAIN LIMESTONE,IRAQ,MIDDLE EAST,COMPRESSION,OIL,PALEOGENE-NEOGENE,ORGANIC BUILDUP,LIMESTONE,FOLD,FORELAND,274.4,86.9,20.0,50.0,747.0
